##, Gene,  % In, % In, % Ratio, Up, Down, Up
1, Luc, 6.350699E-5, 1.8962799E-5, 0.2985939, , Luc, , Luc, 
2, Luc, 3.168198E-5, 1.8421006E-6, 0.05814348, , Luc, , , 
3, Luc, 2.9536472E-5, 3.8575752E-5, 1.3060379, , Luc, , , 
4, Luc, 3.5901474E-5, 2.1888489E-5, 0.6096822, , Luc, , , 
5, Luc, 1.7593153E-5, 2.0479823E-5, 1.1640792, , Luc, , , 
6, Luc, 1.2873038E-6, 2.1346696E-5, 16.582485, , Luc, , , 
7, Luc, 1.7235569E-5, 1.2461269E-6, 0.07229973, , Luc, , , 
8, Luc, 1.5447646E-5, 1.7174878E-5, 1.111812, , Luc, , , 
9, Luc, 2.8606752E-5, 4.431877E-5, 1.5492417, , Luc, , , 
10, Luc, 5.1420637E-5, 3.2507658E-6, 0.063219085, , Luc, , , 
11, Luc, 3.597299E-5, 2.08049E-5, 0.57834786, , Luc, , , 
12, Luc, 8.8323344E-5, 4.090547E-5, 0.46313316, , Luc, , , 
13, Luc, 4.1122206E-5, 3.879247E-5, 0.943346, , Luc, , , 
14, Luc, 4.2481028E-5, 5.68884E-6, 0.13391483, , Luc, , , 
15, Luc, 7.79534E-6, 3.711291E-5, 4.7609096, , Luc, , , 
16, Luc, 4.4555018E-5, 7.200446E-5, 1.6160798, , Luc, , , 
17, Luc, 3.275473E-5, 1.6253829E-6, 0.04962284, , Luc, , , 
18, Luc, 1.9881692E-5, 1.0944244E-5, 0.55046844, , Luc, , , 
19, Luc, 1.580523E-5, 9.914836E-6, 0.6273136, , Luc, , , 
20, Luc, 1.8022254E-5, 1.12693215E-5, 0.62530035, , Luc, , , 
21, Luc, 7.5807893E-6, 6.880787E-6, 0.907661, , Luc, , , 
22, A1BG, 1.0012363E-6, 3.79256E-7, 0.3787877, , , , , 
23, A1BG, 4.169434E-5, 1.5712034E-5, 0.37683854, , , , , 
24, A1BG, 1.7950737E-5, 2.7089715E-7, 0.015091144, , , , , 
25, A1BG, 3.933428E-6, 5.2554046E-6, 1.3360876, , , , , 
26, A1BG, 4.0264003E-5, 7.731404E-5, 1.9201777, , , , , 
27, A1BG, 1.9095007E-5, 1.3544857E-5, 0.7093403, , , , , 
28, A2M, 1.8022254E-5, 1.0619168E-5, 0.5892253, , , , , 
29, A2M, 2.1455064E-7, 1.6253829E-7, 0.7575754, , , , , 
30, A2M, 1.0369948E-5, 5.5479733E-5, 5.3500495, , , , , 
31, A2M, 4.784479E-5, 1.6470547E-5, 0.34424955, , , , , 
32, A2M, 8.43184E-5, 1.8475184E-5, 0.21911213, , , , , 
33, A4GALT, 3.6545127E-5, 1.1865295E-5, 0.32467517, , , , , 
