,Genes,value,freq,Genetic_Screen_Effect
 ABCA8, ABCA8,0.127807584,3,Sensitizers
 ABCB4, ABCB4,0.150365909,3,Sensitizers
 ACCN2, ACCN2,0.07401627,3,Sensitizers
 ACCN3, ACCN3,0.025750208,3,Sensitizers
 ACTA1, ACTA1,0.1178084452,5,Sensitizers
 ACYP1, ACYP1,0.175481496666667,3,Sensitizers
 ADA, ADA,0.161078234333333,3,Sensitizers
 ADCY4, ADCY4,0.139034908,3,Sensitizers
 ADH1A, ADH1A,0.0501828286666667,3,Sensitizers
 ADIPOR2, ADIPOR2,0.154907805666667,3,Sensitizers
 ADORA2B, ADORA2B,0.2351112,3,Sensitizers
 ADRB3, ADRB3,0.1234573631,3,Sensitizers
 ADSL, ADSL,0.0655992755,4,Sensitizers
 AHSG, AHSG,0.134026213333333,3,Sensitizers
 AKAP12, AKAP12,0.0419032533333333,3,Sensitizers
 AKR1C2, AKR1C2,0.136717010333333,3,Sensitizers
 AKT2, AKT2,0.0872475543333333,3,Sensitizers
 ALDH1A2, ALDH1A2,0.101634397,3,Sensitizers
 ALDH5A1, ALDH5A1,0.1174639715,4,Sensitizers
 ALDH6A1, ALDH6A1,0.18871293,3,Sensitizers
 ALG13, ALG13,0.218219116666667,3,Sensitizers
 ALG3, ALG3,0.0421538448333333,3,Sensitizers
 ALOX5, ALOX5,0.253452036666667,3,Sensitizers
 AMH, AMH,0.088353185,4,Sensitizers
 ANP32E, ANP32E,0.252192133333333,3,Sensitizers
 AOC2, AOC2,0.14432017,3,Sensitizers
 AOC3, AOC3,0.09357791325,4,Sensitizers
 AP3M1, AP3M1,0.107439845333333,3,Sensitizers
 APBA2, APBA2,0.11836435275,4,Sensitizers
 APOBEC3A, APOBEC3A,0.131581912333333,3,Sensitizers
 APOBEC3B, APOBEC3B,0.106531277,3,Sensitizers
 APPBP2, APPBP2,0.155722871333333,3,Sensitizers
 AR, AR,0.0994127517,4,Sensitizers
 ARAP2, ARAP2,0.1307061056,3,Sensitizers
 ARF3, ARF3,0.135843707333333,3,Sensitizers
 ARFGAP3, ARFGAP3,0.1141285,3,Sensitizers
 ARHGAP4, ARHGAP4,0.14892515,3,Sensitizers
 ARHGDIB, ARHGDIB,0.200661826666667,3,Sensitizers
 ARHGEF1, ARHGEF1,0.125968349666667,3,Sensitizers
 ARPC2, ARPC2,0.1329014774,5,Sensitizers
 ARSA, ARSA,0.105358703566667,3,Sensitizers
 ARSD, ARSD,0.109477638,3,Sensitizers
 ASH1L, ASH1L,0.060582687,3,Sensitizers
 ASPA, ASPA,0.127884228333333,3,Sensitizers
 ASS1, ASS1,0.192643893333333,3,Sensitizers
 ATF4, ATF4,0.17918287,3,Sensitizers
 ATG4A, ATG4A,0.152420508,3,Sensitizers
 ATG5, ATG5,0.0976189303333333,3,Sensitizers
 ATP5G3, ATP5G3,0.101484585766667,3,Sensitizers
 ATP5H, ATP5H,0.155271913,3,Sensitizers
 ATP5J, ATP5J,0.141785135666667,3,Sensitizers
 ATP6V0D1, ATP6V0D1,0.132646861666667,3,Sensitizers
 ATP6V1A, ATP6V1A,0.0663468778333333,3,Sensitizers
 ATP8A1, ATP8A1,0.14442774,3,Sensitizers
 ATRX, ATRX,0.136663180333333,3,Sensitizers
 ATXN2, ATXN2,0.074398344,3,Sensitizers
 AVPR1B, AVPR1B,0.2141177725,4,Sensitizers
 B3GALT6, B3GALT6,0.0888757298,3,Sensitizers
 BAI1, BAI1,0.105770315,3,Sensitizers
 BAX, BAX,0.104814898666667,3,Sensitizers
 BBS4, BBS4,0.0288333186666667,3,Sensitizers
 BCAT1, BCAT1,0.0147416724,3,Sensitizers
 BCKDHA, BCKDHA,0.153402334666667,3,Sensitizers
 BCL2L1, BCL2L1,0.0592136526666667,3,Sensitizers
 BCL3, BCL3,0.106164508333333,3,Sensitizers
 BCL6, BCL6,0.120973042666667,3,Sensitizers
 BCL9, BCL9,0.142364101666667,3,Sensitizers
 BDKRB1, BDKRB1,0.090795204675,4,Sensitizers
 BDKRB2, BDKRB2,0.0941581056666667,3,Sensitizers
 BET1, BET1,0.108748660666667,3,Sensitizers
 BHLHB3, BHLHB3,0.09436707315,4,Sensitizers
 BMP7, BMP7,0.138070493666667,3,Sensitizers
 BMP8A, BMP8A,0.20271866,3,Sensitizers
 BOK, BOK,0.193268036666667,3,Sensitizers
 BST1, BST1,0.125635786125,4,Sensitizers
 BTG3, BTG3,0.177722943333333,3,Sensitizers
 BTLA, BTLA,0.125811324033333,3,Sensitizers
 BZW1, BZW1,0.177258093333333,3,Sensitizers
 C14ORF166, C14ORF166,0.25517478,3,Sensitizers
 C4BPB, C4BPB,0.104714063,3,Sensitizers
 C7, C7,0.130515851666667,3,Sensitizers
 C9, C9,0.02599987325,4,Sensitizers
 C9ORF47, C9ORF47,0.0748099686666667,3,Sensitizers
 CA5A, CA5A,0.141419038333333,3,Sensitizers
 CACNA1F, CACNA1F,0.0928768814333333,3,Sensitizers
 CACNA1S, CACNA1S,0.15357397765,4,Sensitizers
 CADM1, CADM1,0.0832863323333333,3,Sensitizers
 CAMK1G, CAMK1G,0.121583200666667,3,Sensitizers
 CAMK2B, CAMK2B,0.0174363803333333,3,Sensitizers
 CAMK2G, CAMK2G,0.18338806,3,Sensitizers
 CANT1, CANT1,0.0232586463333333,3,Sensitizers
 CARD11, CARD11,0.168335553333333,3,Sensitizers
 CARS2, CARS2,0.069614949,3,Sensitizers
 CASP12, CASP12,0.0616589183333333,3,Sensitizers
 CASP9, CASP9,0.11112215825,4,Sensitizers
 CAST, CAST,0.0776399833333333,3,Sensitizers
 CBLC, CBLC,0.0515566936666667,3,Sensitizers
 CBX4, CBX4,0.193039120666667,3,Sensitizers
 CBX5, CBX5,0.158552778666667,3,Sensitizers
 CCL1, CCL1,0.116890627666667,3,Sensitizers
 CCL11, CCL11,0.055021261,3,Sensitizers
 CCL15, CCL15,0.1053011332,3,Sensitizers
 CCL17, CCL17,0.120776933,3,Sensitizers
 CCNA2, CCNA2,0.0426490186666667,3,Sensitizers
 CCNC, CCNC,0.0634351703333333,3,Sensitizers
 CCND3, CCND3,0.027081965,3,Sensitizers
 CCNT2, CCNT2,0.0510537783333333,3,Sensitizers
 CCR10, CCR10,0.1489715482,3,Sensitizers
 CCR2, CCR2,0.126525952425,4,Sensitizers
 CCR4, CCR4,0.117227916666667,3,Sensitizers
 CCR7, CCR7,0.119803294,3,Sensitizers
 CD207, CD207,0.0947987766666667,3,Sensitizers
 CD24, CD24,0.0306429563333333,3,Sensitizers
 CD276, CD276,0.082316594,3,Sensitizers
 CD2AP, CD2AP,0.0171164913333333,3,Sensitizers
 CD34, CD34,0.110055238666667,3,Sensitizers
 CD47, CD47,0.173540693333333,3,Sensitizers
 CD8B, CD8B,0.130581819,3,Sensitizers
 CD9, CD9,0.112072051,3,Sensitizers
 CDC14A, CDC14A,0.149223883333333,3,Sensitizers
 CDC14B, CDC14B,0.132874035333333,3,Sensitizers
 CDC2, CDC2,0.1991572075,4,Sensitizers
 CDC23, CDC23,0.13239558415,4,Sensitizers
 CDC25B, CDC25B,0.142561625333333,3,Sensitizers
 CDC2L2, CDC2L2,0.0842716412333333,3,Sensitizers
 CDC34, CDC34,0.0959801883333333,3,Sensitizers
 CDC40, CDC40,0.0795296073333333,3,Sensitizers
 CDH5, CDH5,0.1032036475,4,Sensitizers
 CDK2, CDK2,0.119779487333333,3,Sensitizers
 CDK5, CDK5,0.250754423333333,3,Sensitizers
 CDK8, CDK8,0.075490251425,4,Sensitizers
 CDT1, CDT1,0.042235053325,4,Sensitizers
 CEBPB, CEBPB,0.096594956,4,Sensitizers
 CFHR1, CFHR1,0.06617094125,4,Sensitizers
 CHAF1A, CHAF1A,0.0932409272333333,3,Sensitizers
 CHKA, CHKA,0.22686431,3,Sensitizers
 CHKB, CHKB,0.118339386666667,3,Sensitizers
 CHN1, CHN1,0.038705857,3,Sensitizers
 CHST4, CHST4,0.0230402803333333,3,Sensitizers
 CIRBP, CIRBP,0.20692875375,4,Sensitizers
 CKM, CKM,0.1032960314,3,Sensitizers
 CLK1, CLK1,0.112105877,3,Sensitizers
 CLK3, CLK3,0.185326222333333,3,Sensitizers
 CLOCK, CLOCK,0.15579373125,4,Sensitizers
 CMBL, CMBL,0.199683293333333,3,Sensitizers
 CNGA3, CNGA3,0.155269795666667,3,Sensitizers
 CNGB1, CNGB1,0.238506543333333,3,Sensitizers
 COL15A1, COL15A1,0.104637120666667,3,Sensitizers
 COL4A6, COL4A6,0.0844521286666667,3,Sensitizers
 COPA, COPA,0.18832515,3,Sensitizers
 COQ3, COQ3,0.134023322,4,Sensitizers
 COQ6, COQ6,0.0184165217833333,3,Sensitizers
 COX6C, COX6C,0.188647927333333,3,Sensitizers
 CPEB1, CPEB1,0.121045870433333,3,Sensitizers
 CPSF2, CPSF2,0.054827546,3,Sensitizers
 CSF1, CSF1,0.0369444525333333,3,Sensitizers
 CSNK1E, CSNK1E,0.038057171,3,Sensitizers
 CSRP3, CSRP3,0.138185849333333,3,Sensitizers
 CST3, CST3,0.132115879333333,3,Sensitizers
 CTSG, CTSG,0.0586748173333333,3,Sensitizers
 CX3CL1, CX3CL1,0.09589427,3,Sensitizers
 CXCR6, CXCR6,0.0499977166666667,3,Sensitizers
 DAPK1, DAPK1,0.190355838,3,Sensitizers
 DGKH, DGKH,0.0652829826666667,3,Sensitizers
 DISC1, DISC1,0.117034212,3,Sensitizers
 DLL3, DLL3,0.072117607,3,Sensitizers
 DNMBP, DNMBP,0.149062431666667,3,Sensitizers
 DNMT3L, DNMT3L,0.120299104333333,3,Sensitizers
 DRD4, DRD4,0.1251529436,5,Sensitizers
 E2F5, E2F5,0.116462359333333,3,Sensitizers
 EBI3, EBI3,0.2345902725,4,Sensitizers
 EIF3A, EIF3A,0.193572523333333,3,Sensitizers
 EIF4E2, EIF4E2,0.12603115,3,Sensitizers
 EIF4EBP1, EIF4EBP1,0.0840129473333333,3,Sensitizers
 ENPP1, ENPP1,0.217317803333333,3,Sensitizers
 ENTPD4, ENTPD4,0.113760929,3,Sensitizers
 ERN1, ERN1,0.082700675,3,Sensitizers
 EXOC7, EXOC7,0.277110676666667,3,Sensitizers
 FAF1, FAF1,0.14141879725,4,Sensitizers
 FAM132A, FAM132A,0.16332413,3,Sensitizers
 FANCC, FANCC,0.141009088666667,3,Sensitizers
 FARSA, FARSA,0.1585545084,5,Sensitizers
 FCGR3B, FCGR3B,0.0368106943333333,3,Sensitizers
 FCN1, FCN1,0.200497466666667,3,Sensitizers
 FGF11, FGF11,0.0567613758666667,3,Sensitizers
 FGF4, FGF4,0.102624973333333,3,Sensitizers
 FLNC, FLNC,0.082496203,3,Sensitizers
 FLOT1, FLOT1,0.107181354,4,Sensitizers
 FLT4, FLT4,0.0542218178666667,3,Sensitizers
 FN1, FN1,0.1987878475,4,Sensitizers
 FOXP1, FOXP1,0.116131796666667,3,Sensitizers
 FRAT2, FRAT2,0.0469179178,3,Sensitizers
 FTMT, FTMT,0.143155332,3,Sensitizers
 FUT9, FUT9,0.20668947,3,Sensitizers
 FZD4, FZD4,0.0863383263333333,3,Sensitizers
 FZD7, FZD7,0.0619440108,3,Sensitizers
 FZD9, FZD9,0.242409166666667,3,Sensitizers
