	SCC1_Control_1	SCC1_Control_2	MSC1_1	MSC1_2	MSC2_1	MSC2_2	MSC3_1	MSC3_2
ENSG00000000003	1890	1765	3306	746	3088	3122	3499	3469
ENSG00000000419	3067	3090	2356	493	2369	2513	2703	2579
ENSG00000000457	419	375	389	86	419	343	405	419
ENSG00000000460	501	610	528	112	652	711	578	562
ENSG00000000938	2	2	6	2	6	6	18	11
ENSG00000000971	9	1	75	15	4	12	21	19
ENSG00000001036	3002	2787	2665	548	2586	2521	2204	2296
ENSG00000001084	3329	3250	2427	575	2546	2886	2723	2838
ENSG00000001167	1834	2129	1678	385	1934	2160	2187	2201
ENSG00000001460	704	775	1237	283	1004	1105	1116	1121
ENSG00000001461	918	1028	2267	511	2156	2392	2190	2405
ENSG00000001497	3030	3096	2087	423	2125	2274	2188	2158
ENSG00000001561	1288	1274	1834	454	1721	1770	1714	1636
ENSG00000001617	1453	1655	3987	812	3917	3836	3917	3693
ENSG00000001626	3	3	8	2	12	34	15	11
ENSG00000001629	1515	1536	1530	396	1373	1523	1425	1577
ENSG00000001630	131	164	128	40	144	171	150	174
ENSG00000001631	301	279	255	71	255	249	261	210
ENSG00000002016	611	527	683	164	683	663	746	715
ENSG00000002079	35	44	324	62	393	348	376	409
ENSG00000002330	661	611	915	188	756	728	631	681
ENSG00000002549	3229	3356	4170	891	3938	4010	4399	4236
ENSG00000002586	207	77	88	15	63	72	499	98
ENSG00000002587	6648	6836	1436	316	1266	1376	1015	863
ENSG00000002726	6	10	300	62	48	67	109	112
ENSG00000002745	3820	3851	1811	437	1761	1861	1925	2037
ENSG00000002746	310	319	349	84	313	370	263	312
ENSG00000002822	18	10	88	9	62	62	38	50
ENSG00000002834	12407	12973	14702	3329	15101	16133	14139	14658
ENSG00000002919	1121	1055	1402	279	1228	1231	1271	1168
ENSG00000003056	3572	3531	4182	977	3607	3857	4263	4289
ENSG00000003096	280	270	350	74	227	316	386	345
ENSG00000003137	857	603	1381	259	1550	1686	1042	1096
ENSG00000003147	791	737	685	174	548	516	746	727
ENSG00000003249	6043	6323	7490	1550	7633	7424	7800	7592
ENSG00000003393	1614	1651	2041	482	2091	2272	2067	2125
ENSG00000003400	69	77	134	52	216	243	568	600
ENSG00000003402	727	735	1580	300	1312	1356	1267	1193
ENSG00000003436	996	968	511	135	563	518	472	425
ENSG00000003509	717	622	620	125	661	648	584	619
ENSG00000003756	1519	1513	2056	465	2043	2158	1868	1985
ENSG00000003987	36	36	17	8	33	39	32	40
ENSG00000003989	1114	1185	512	134	780	887	826	863
ENSG00000004059	11973	12360	11911	2334	11189	10868	11466	11464
ENSG00000004139	15	20	18	1	27	32	15	27
ENSG00000004142	5407	5316	4792	1022	4634	4537	4732	4918
ENSG00000004399	2605	2846	3987	888	3503	3604	3289	3723
ENSG00000004455	13335	13164	10840	2410	9883	10180	10737	10844
ENSG00000004468	0	0	0	1	7	0	2	4
ENSG00000004478	13774	13656	10198	2186	9854	10187	10032	10154
ENSG00000004487	12879	12825	9655	2105	10539	11161	10000	9796
ENSG00000004534	2555	2619	2438	489	2608	2692	2255	2384
ENSG00000004660	753	799	453	94	320	379	392	365
ENSG00000004700	865	829	807	180	884	1072	851	913
ENSG00000004766	703	690	672	160	595	728	763	833
ENSG00000004776	8	11	19	2	29	15	7	12
ENSG00000004777	704	700	1042	207	918	773	969	993
ENSG00000004779	4726	4608	3469	679	3683	3587	3729	3669
ENSG00000004799	250	191	228	52	214	226	256	253
ENSG00000004809	0	3	10	4	4	4	6	2
ENSG00000004838	96	92	118	20	150	128	132	143
ENSG00000004846	0	2	13	2	10	10	21	8
ENSG00000004848	41	45	77	20	125	92	125	143
ENSG00000004864	893	795	683	143	640	643	576	623
ENSG00000004866	451	469	499	101	375	408	444	420
ENSG00000004897	7434	7021	4718	1144	5356	5518	4947	5132
ENSG00000004939	4	0	0	0	0	0	0	2
ENSG00000004961	1329	1331	1607	313	1794	1557	1474	1497
ENSG00000004975	3768	3681	3902	795	4842	4594	4082	4185
ENSG00000005001	354	352	1233	262	418	425	684	760
ENSG00000005007	6277	6115	7292	1590	6368	6206	6862	7414
ENSG00000005020	2317	2033	1149	274	1567	1822	1786	1935
ENSG00000005022	26390	24814	27312	5591	30341	28756	32799	30394
ENSG00000005059	1350	1210	1135	212	995	1011	1229	1128
ENSG00000005073	392	358	458	111	429	419	394	350
ENSG00000005075	1756	1729	2653	318	1518	1484	1575	1512
ENSG00000005100	2274	2296	2212	508	2563	2647	2398	2669
ENSG00000005102	8	11	31	8	74	98	25	20
ENSG00000005156	1750	1695	1249	277	1312	1505	1276	1308
ENSG00000005175	2594	2529	2003	521	2209	2192	2027	1983
ENSG00000005187	433	478	295	67	292	347	270	251
ENSG00000005189	552	543	545	130	617	583	565	613
ENSG00000005194	2857	2679	2675	552	2887	2695	2810	2591
ENSG00000005206	1001	984	1285	225	1183	1033	1056	1034
ENSG00000005238	1009	1128	1031	244	1073	1069	1095	1154
ENSG00000005249	1988	2096	1177	275	1607	1634	1483	1593
ENSG00000005302	650	692	501	127	565	573	575	585
ENSG00000005339	2106	2391	2913	580	2781	2937	2250	2638
ENSG00000005379	4	13	3	0	17	10	4	14
ENSG00000005381	0	0	0	0	0	0	0	0
ENSG00000005421	4	2	2	1	0	0	4	5
ENSG00000005436	672	629	548	105	560	525	676	602
ENSG00000005448	2940	2861	3682	766	2788	2698	3587	3463
ENSG00000005469	1	2	11	4	17	14	20	16
ENSG00000005483	2403	2341	2324	543	2063	2301	2055	2322
ENSG00000005486	3225	3323	4814	1019	3899	3794	4111	4249
ENSG00000005513	459	501	645	154	541	548	600	658
ENSG00000005700	2615	2550	2059	456	1677	1885	2011	2006
ENSG00000005801	1324	1415	1990	402	2183	2201	2316	2342
ENSG00000005810	1380	1260	1393	325	1095	1160	1249	1295
ENSG00000005812	1170	1223	978	242	1109	1238	1151	1214
ENSG00000005844	1	4	2	3	6	12	7	0
ENSG00000005882	1368	1484	1605	366	1459	1599	1557	1620
ENSG00000005884	17744	20235	23475	5182	17327	18366	19046	19799
