chr	start	end	strand	peak	position	Quality
chr1	14589	14590	+	6	14590	30.33
chr1	17364	17365	+	4	17365	159.55
chr1	39014	39015	+	1	39015	28.43
chr1	39023	39025	+	1	39024	19.44
chr1	47959	47960	+	2	47960	79.07
chr1	62575	62576	+	11	62576	480.96
chr1	78215	78216	+	4	78216	10.31
chr1	110934	110935	+	1	110935	28.84
chr1	264782	264783	+	1	264783	105.08
chr1	267096	267097	+	1	267097	26.31
chr1	591241	591242	+	4	591242	73.72
chr1	599700	599702	+	3	599701	61.37
chr1	647356	647357	+	2	647357	14.9
chr1	689961	689962	+	3	689962	323.9
chr1	737567	737568	+	1	737568	386.6
chr1	820876	820877	+	2	820877	50.61
chr1	820883	820884	+	2	820884	37.33
chr1	878839	878840	+	3	878840	398.95
chr1	1747694	1747695	+	1	1747695	16.49
chr1	1935866	1935869	+	4	1935867	314.9
chr1	2245815	2245816	+	5	2245816	44.32
chr1	2926753	2926754	+	1	2926754	119.49
chr1	3272776	3272777	+	3	3272777	14.76
chr1	3409842	3409843	+	3	3409843	152.89
chr1	3472872	3472873	+	5	3472873	69.45
chr1	4633400	4633425	+	1	4633376	435.35
chr1	6245163	6245164	+	23	6245164	18.42
chr1	6630876	6630878	+	5	6630877	509.9
chr1	7197627	7197634	+	2	7197628	119.57
chr1	7548680	7548681	+	2	7548681	89.05
chr1	7548682	7548683	+	2	7548683	89.05
chr1	7803358	7803359	+	2	7803359	65.69
chr1	7803364	7803365	+	2	7803365	61.66
chr1	7803366	7803369	+	2	7803367	50.39
chr1	7803370	7803371	+	2	7803371	61.65
chr1	7803383	7803384	+	2	7803384	21.71
chr1	7803385	7803386	+	2	7803386	27.7
chr1	7998251	7998252	+	8	7998252	169.92
chr1	8196955	8196957	+	1	8196956	1591.6
chr1	8501270	8501271	+	3	8501271	44.4
chr1	9933305	9933306	+	5	9933306	794.05
chr1	10102421	10102430	+	1	10102422	110.65
chr1	10102433	10102434	+	1	10102434	123.3
chr1	12041359	12041361	+	2	12041360	2919.3
chr1	13333589	13333590	+	3	13333590	60.54
chr1	14057139	14057140	+	2	14057140	1893.78
chr1	14428905	14428906	+	2	14428906	27.45
chr1	15632929	15632934	+	3	15632930	187.42
chr1	15743962	15743964	+	1	15743963	2302.39
chr1	15762091	15762093	+	2	15762092	205.01
chr1	16058754	16058755	+	3	16058755	58.93
chr1	16210285	16210286	+	2	16210286	49.49
chr1	16513328	16513329	+	1	16513329	280.99
chr1	16513568	16513569	+	2	16513569	144.36
chr1	16515090	16515091	+	3	16515091	10.12
chr1	16567528	16567530	+	2	16567529	21.6
chr1	16568391	16568392	+	5	16568392	126.05
chr1	16575053	16575054	+	4	16575054	37.4
chr1	16583567	16583568	+	3	16583568	85.24
chr1	16591684	16591685	+	3	16591685	60.8
chr1	16596928	16596930	+	5	16596929	344.01
chr1	16605190	16605191	+	3	16605191	327.64
chr1	16605772	16605773	+	6	16605773	541.91
chr1	16615571	16615572	+	1	16615572	13587.9
chr1	16647110	16647111	+	1	16647111	351.92
chr1	16657853	16657854	+	1	16657854	36.3
chr1	16682747	16682748	+	2	16682748	124.9
chr1	16726738	16726739	+	4	16726739	393.9
chr1	16745128	16745129	+	1	16745129	89.88
chr1	16849620	16849621	+	3	16849621	14.66
chr1	16873641	16873642	+	3	16873642	167.9
chr1	16902739	16902740	+	2	16902740	22.4
chr1	16944403	16944404	+	1	16944404	19.39
chr1	16945355	16945356	+	10	16945356	171.66
chr1	16945363	16945364	+	10	16945364	173.39
chr1	16980278	16980280	+	7	16980279	16.43
chr1	16980283	16980285	+	7	16980284	13.68
chr1	16980288	16980289	+	7	16980289	29.68
chr1	16980291	16980292	+	7	16980292	26.62
chr1	17681988	17681990	+	1	17681989	12.55
chr1	21409316	21409317	+	1	21409317	43.61
chr1	21409320	21409321	+	1	21409321	43.35
chr1	21409324	21409325	+	1	21409325	52.39
chr1	21409334	21409335	+	1	21409335	49.03
chr1	21409342	21409343	+	1	21409343	46.94
chr1	21409350	21409351	+	1	21409351	54.62
chr1	21409364	21409365	+	1	21409365	14.76
chr1	21566098	21566099	+	3	21566099	47.33
chr1	22006182	22006183	+	10	22006183	25.34
chr1	22019707	22019709	+	1	22019708	138.07
chr1	23173305	23173307	+	2	23173306	1349.43
chr1	23241396	23241398	+	6	23241397	1520.81
chr1	23484412	23484413	+	1	23484413	10.41
chr1	23484418	23484419	+	1	23484419	10.68
chr1	23664143	23664145	+	1	23664144	211.06
chr1	23669504	23669505	+	5	23669505	15.73
chr1	24212000	24212050	+	7	24211986	80.22
chr1	24733986	24733987	+	1	24733987	41.49
chr1	25166807	25166811	+	7	25166808	40.44
chr1	25166814	25166850	+	7	25166815	27.52
chr1	25166900	25166950	+	3	25166815	27.52
chr1	25196717	25196719	+	7	25196718	1311.21
chr1	26128312	26128315	+	2	26128313	26.32
chr1	26488650	26488651	+	4	26488651	1401.39
chr1	26488653	26488654	+	4	26488654	1409.43
chr1	26818519	26818520	+	5	26818520	239.18
chr1	26916225	26916226	+	1	26916226	1948.38
chr1	27065230	27065231	+	2	27065231	26.52
chr1	28337190	28337192	+	1	28337191	78.5
chr1	28353524	28353525	+	3	28353525	175.37
chr1	28353526	28353527	+	3	28353527	175.37
chr1	28990335	28990336	+	3	28990336	993.93
chr1	32842203	32842206	+	4	32842204	96.79
chr1	33051975	33051976	+	5	33051976	16.44
chr1	33051989	33051990	+	5	33051990	21.34
chr1	33052063	33052064	+	4	33052064	22.37
chr1	33308010	33308028	+	2	33308011	504.33
chr1	35018319	35018321	+	1	35018320	2320.27
chr1	36371678	36371679	+	5	36371679	12.78
chr1	36530144	36530145	+	4	36530145	76.03
chr1	36750211	36750212	+	4	36750212	240.02
chr1	36750212	36750213	+	4	36750213	252.06
chr1	36750214	36750215	+	4	36750215	116.57
chr1	36750216	36750217	+	4	36750217	116.57
chr1	37896665	37896666	+	2	37896666	14.5
chr1	38341210	38341211	+	1	38341211	358.54
chr1	38342526	38342547	+	1	38342527	754.86
chr1	39234953	39234954	+	1	39234954	198.05
chr1	39235123	39235124	+	4	39235124	111.03
chr1	40230140	40230141	+	3	40230141	15.61
chr1	40814050	40814054	+	5	40814046	2193.51
chr1	41545139	41545149	+	5	41545140	21.39
chr1	42324100	42324111	+	3	42324087	47.63
chr1	42324103	42324104	+	3	42324104	61.88
chr1	43857500	43857501	+	1	43857501	169.43
chr1	43857501	43857502	+	1	43857502	160.39
chr1	43857505	43857506	+	1	43857506	202.39
chr1	44118834	44118835	+	2	44118835	118.34
chr1	44118836	44118837	+	2	44118837	118.37
chr1	44325170	44325171	+	1	44325171	13.57
chr1	46229006	46229008	+	2	46229007	1943.66
chr1	46855897	46855898	+	1	46855898	84.4
chr1	46887667	46887668	+	2	46887668	14.8
